Station,Line,AM Entry,AM Exit,PM Entry,PM Exit,Latitude,Longitude
Walthamstow Central,Victoria,70400,22638,17892,52672,51.58301808337606,-0.019940545005550973
Wanstead,Central,9830,3581,3274,7875,51.574902199570865,0.02876047243622503
Warren Street,Northern & Victoria,10351,69393,81502,30743,51.524579764761874,-0.13827833053848032
Waterloo,Northern & Jubilee,322804,157756,173156,272891,51.50314645678346,-0.11325925125819598
Wembley Park,Jubilee,34852,30578,30116,35311,51.563322003491564,-0.2792425481111569
West Acton,Central,5978,3345,2654,3972,51.51776969314101,-0.28065717090448683
West Finchley,Northern,7697,1878,1550,4530,51.60926242118551,-0.18891710747921014
West Ham,Jubilee,12675,7042,5484,12390,51.528525530726974,0.005317393832787913
West Hampstead,Jubilee,36534,20583,19473,25597,51.54747402267271,-0.19112658344309522
West Ruislip,Central,6266,2161,2089,3847,51.56958715703546,-0.4378601343740381
Westminster,Jubilee,8132,61768,77920,32930,51.501401389193255,-0.1250020783467796
White City,Central,13236,27031,33667,17452,51.51223207227981,-0.2246319285152728
Willesden Green,Jubilee,28035,8916,8776,19112,51.54937292482699,-0.22240760124964687
Woodford,Central,23942,7458,4944,16637,51.607201902790344,0.034056202416625964
Woodside Park,Northern,15144,5957,5078,12136,51.61786809900362,-0.1854255027302192
